Name,Position,Birthdate,Height,Foot,GamesPlayed,Debut,Value,Year,Category
Lorik Emini,Zentrales Mittelfeld,29.08.1999 (15),"1,76m",rechts,4,09.09.2014,-,2014,28155
Noah Blasucci,Zentrales Mittelfeld,19.06.1999 (16),"1,75m",rechts,7,09.09.2014,-,2014,28155
Edin Imeri,Zentrales Mittelfeld,14.01.1998 (17),"1,81m",rechts,8,03.09.2013,-,2014,28155
Araz Sadik,Zentrales Mittelfeld,05.03.1998 (17),"1,78m", ,2,08.04.2014,-,2014,28155
Karim Bertelli,Zentrales Mittelfeld,27.03.1999 (16),"1,85m",rechts,6,09.09.2014,-,2014,28155
Batuhan Karadeniz,Rechtes Mittelfeld,09.02.1999 (16),-, ,1,,-,2014,28155
Martin Liechti,Rechtes Mittelfeld,21.05.1998 (17),"1,76m",links,6,03.09.2013,-,2014,28155
Baris Cagras,Linkes Mittelfeld,03.01.1999 (16),"1,74m",links,2,09.09.2014,-,2014,28155
Edmond Ramadani,Linkes Mittelfeld,27.06.1998 (17),"1,79m",rechts,2,03.09.2013,-,2014,28155
Thomas Kunz,Offensives Mittelfeld,18.01.1998 (17),"1,85m",rechts,9,03.09.2013,-,2014,28155
Rijad Saliji,Offensives Mittelfeld,05.04.1999 (16),"1,79m",rechts,9,09.09.2014,-,2014,28155
Ajet Sejdija,Offensives Mittelfeld,28.04.1999 (16),"1,71m", ,4,15.03.2019,-,2014,28155
Giotto Morandi,Offensives Mittelfeld,04.03.1999 (16),"1,81m",rechts,4,21.10.2014,-,2014,28155
Petar Pusic,Offensives Mittelfeld,25.01.1999 (16),"1,71m",links,9,09.09.2014,-,2014,28155
Nedim Bajrami,Offensives Mittelfeld,28.02.1999 (16),"1,79m",rechts,7,21.10.2014,-,2014,28155
Liridon Mulaj,Linksaußen,04.01.1999 (16),"1,75m",rechts,2,09.09.2014,-,2014,28155
Mersim Asllani,Rechtsaußen,07.06.1999 (16),"1,78m",rechts,9,09.09.2014,-,2014,28155
Çendrim Kameraj,Rechtsaußen,13.03.1999 (16),"1,80m", ,9,09.09.2014,-,2014,28155
Cristian Papa,Hängende Spitze,11.06.1998 (17),"1,77m",rechts,-,,-,2014,28155
Jérémy Guillemenot,Mittelstürmer,06.01.1998 (17),"1,84m",rechts,8,05.09.2013,-,2014,28155
Andi Zeqiri,Mittelstürmer,22.06.1999 (16),"1,85m",links,7,09.09.2014,-,2014,28155
Haris Samardzic,Mittelstürmer,16.02.1998 (17),"1,89m", ,9,03.09.2013,-,2014,28155
Ambrosio Da Costa,Mittelstürmer,17.05.1999 (16),"1,80m",rechts,6,21.10.2014,-,2014,28155
Senad Mujovik,Torwart,26.05.1997 (17),"1,81m",links,2,22.05.2013,-,2013,28155
Olivier Joos,Torwart,12.03.1997 (17),"1,81m",rechts,4,06.09.2012,-,2013,28155
Gion Chande,Torwart,03.05.1998 (16),"1,81m", ,4,03.09.2013,-,2013,28155
Mathieu Descloux,Torwart,22.01.1997 (17),"1,86m",rechts,2,04.09.2012,-,2013,28155
Joao Castanheira,Torwart,23.02.1998 (16),"1,81m",links,2,05.09.2013,-,2013,28155
Jeremie Mantato,Abwehr,26.05.1998 (16),-, ,1,05.09.2013,-,2013,28155
Joel Zahn,Innenverteidiger,16.04.1998 (16),-, ,1,05.09.2013,-,2013,28155
Noah Loosli,Innenverteidiger,23.01.1997 (17),"1,86m",rechts,4,16.04.2013,-,2013,28155
Jan Bamert,Innenverteidiger,09.03.1998 (16),"1,84m",rechts,8,03.09.2013,-,2013,28155
Eray Cömert,Innenverteidiger,04.02.1998 (16),"1,83m",rechts,6,01.10.2013,-,2013,28155
Remo Arnold,Innenverteidiger,17.01.1997 (17),"1,90m",rechts,5,04.09.2012,-,2013,28155
Mirlind Kryeziu,Innenverteidiger,26.01.1997 (17),"1,96m",links,5,21.05.2013,-,2013,28155
Yves Kaiser,Innenverteidiger,30.04.1998 (16),"1,82m",rechts,1,03.10.2013,-,2013,28155
Leotrim Nitaj,Linker Verteidiger,11.06.1998 (16),"1,85m", ,4,03.09.2013,-,2013,28155
Tobias Schättin,Linker Verteidiger,05.06.1997 (17),"1,85m",links,9,04.09.2012,-,2013,28155
Dario Ulrich,Rechter Verteidiger,12.03.1998 (16),"1,73m",rechts,8,03.09.2013,-,2013,28155
Sadik Vitija,Rechter Verteidiger,13.08.1998 (15),"1,74m", ,5,03.09.2013,-,2013,28155
Lukas Frehner,Rechter Verteidiger,04.08.1997 (16),-, ,8,04.09.2012,-,2013,28155
Samir Bajrami,Rechter Verteidiger,03.07.1997 (16),"1,78m",beidfüßig,5,22.05.2013,-,2013,28155
Kevin Rüegg ,Rechter Verteidiger,05.08.1998 (15),"1,73m",rechts,4,03.09.2013,-,2013,28155
Alessandro Kräuchi,Rechter Verteidiger,03.06.1998 (16),"1,76m",links,1,05.09.2013,-,2013,28155
Robin Huser,Defensives Mittelfeld,24.01.1998 (16),"1,80m",rechts,2,03.09.2013,-,2013,28155
Milan Marjanovic,Mittelfeld,10.02.1997 (17),"1,70m", ,5,04.09.2012,-,2013,28155
Albin Sadrijaj,Defensives Mittelfeld,27.06.1997 (17),"1,88m",links,2,22.05.2013,-,2013,28155
Araz Sadik,Zentrales Mittelfeld,05.03.1998 (16),"1,78m", ,2,08.04.2014,-,2013,28155
Djibril Sow,Zentrales Mittelfeld,06.02.1997 (17),"1,84m",rechts,4,16.04.2013,-,2013,28155
Jérémy Jaquier,Zentrales Mittelfeld,03.12.1997 (16),-, ,5,04.09.2012,-,2013,28155
Vasilije Janjicic,Zentrales Mittelfeld,02.11.1998 (15),"1,80m",rechts,2,03.09.2013,-,2013,28155
Arxhend Cani,Zentrales Mittelfeld,02.08.1997 (16),-,rechts,6,30.10.2012,-,2013,28155
Valentino Pugliese,Zentrales Mittelfeld,18.07.1997 (16),"1,74m",links,3,01.11.2012,-,2013,28155
Edin Imeri,Zentrales Mittelfeld,14.01.1998 (16),"1,81m",rechts,8,03.09.2013,-,2013,28155
Harun Alpsoy,Zentrales Mittelfeld,03.03.1997 (17),"1,87m",rechts,2,22.05.2013,-,2013,28155
Francesco Mozzetti,Rechtes Mittelfeld,07.09.1998 (15),-,rechts,2,01.10.2013,-,2013,28155
Nikola Gjorgjev,Rechtes Mittelfeld,22.08.1997 (16),"1,74m",rechts,8,04.09.2012,-,2013,28155
Martin Liechti,Rechtes Mittelfeld,21.05.1998 (16),"1,76m",links,6,03.09.2013,-,2013,28155
Trevis Binder,Linkes Mittelfeld,23.07.1997 (16),-, ,2,16.04.2013,-,2013,28155
Edmond Ramadani,Linkes Mittelfeld,27.06.1998 (16),"1,79m",rechts,2,03.09.2013,-,2013,28155
Dereck Kutesa,Linkes Mittelfeld,06.12.1997 (16),"1,77m",rechts,6,04.09.2012,-,2013,28155
Thomas Kunz,Offensives Mittelfeld,18.01.1998 (16),"1,85m",rechts,9,03.09.2013,-,2013,28155
Roberto Alves,Offensives Mittelfeld,08.06.1997 (17),"1,80m",links,5,01.11.2012,-,2013,28155
Filipe Parreiras,Linksaußen,20.01.1997 (17),"1,80m", ,5,01.11.2012,-,2013,28155
Nils Ryser,Rechtsaußen,08.01.1997 (17),-, ,2,16.04.2013,-,2013,28155
Olivier Baumgärtner,Mittelstürmer,28.04.1997 (17),-,rechts,2,16.04.2013,-,2013,28155
Boris Babic,Mittelstürmer,10.11.1997 (16),"1,80m",rechts,3,04.09.2012,-,2013,28155
Haris Samardzic,Mittelstürmer,16.02.1998 (16),"1,89m", ,9,03.09.2013,-,2013,28155
Neftali Manzambi,Mittelstürmer,23.04.1997 (17),"1,79m",rechts,4,30.10.2012,-,2013,28155
Yannick Kouamé,Mittelstürmer,13.09.1997 (16),"1,89m",rechts,4,04.09.2012,-,2013,28155
Jérémy Guillemenot,Mittelstürmer,06.01.1998 (16),"1,84m",rechts,8,05.09.2013,-,2013,28155
Noam Baumann,Torwart,10.04.1996 (17),"1,94m",rechts,5,08.09.2011,-,2012,28155
Mathieu Descloux,Torwart,22.01.1997 (16),"1,86m",rechts,2,04.09.2012,-,2012,28155
Joel Pereira,Torwart,28.06.1996 (17),"1,89m",rechts,3,06.09.2011,-,2012,28155
Olivier Joos,Torwart,12.03.1997 (16),"1,81m",rechts,4,06.09.2012,-,2012,28155
Robin Gloor,Innenverteidiger,15.12.1996 (16),-, ,4,18.10.2011,-,2012,28155
Marko Drakul,Innenverteidiger,06.08.1996 (16),-, ,5,06.09.2011,-,2012,28155
Elia Alessandrini,Innenverteidiger,03.03.1997 (16),"1,83m",rechts,1,04.09.2012,-,2012,28155
Remo Arnold,Innenverteidiger,17.01.1997 (16),"1,90m",rechts,5,04.09.2012,-,2012,28155
Alban Selmanaj,Innenverteidiger,19.04.1997 (16),"1,86m",rechts,3,04.09.2012,-,2012,28155
Adonis Ajeti,Innenverteidiger,26.02.1997 (16),"1,86m",links,3,06.09.2012,-,2012,28155
Esteban Parra,Linker Verteidiger,02.12.1997 (15),-, ,1,04.09.2012,-,2012,28155
Giovanni Giallongo,Linker Verteidiger,20.03.1996 (17),"1,73m", ,4,06.09.2011,-,2012,28155
Olivier Kleiner,Linker Verteidiger,03.02.1996 (17),"1,75m",links,8,06.09.2011,-,2012,28155
Marco Trachsel,Linker Verteidiger,02.08.1996 (16),"1,80m", ,3,18.10.2011,-,2012,28155
Tobias Schättin,Linker Verteidiger,05.06.1997 (16),"1,85m",links,9,04.09.2012,-,2012,28155
Florian Baumgartner,Linker Verteidiger,11.03.1996 (17),-, ,2,06.09.2011,-,2012,28155
Nils von Niederhäusern,Rechter Verteidiger,10.01.1996 (17),"1,80m",rechts,8,06.09.2011,-,2012,28155
Nicolas Stettler,Rechter Verteidiger,28.04.1996 (17),"1,76m",rechts,4,08.09.2011,-,2012,28155
Lukas Frehner,Rechter Verteidiger,04.08.1997 (15),-, ,8,04.09.2012,-,2012,28155
Milan Marjanovic,Mittelfeld,10.02.1997 (16),"1,70m", ,5,04.09.2012,-,2012,28155
Deni Kadoic,Defensives Mittelfeld,03.04.1996 (17),"1,85m",beidfüßig,7,06.09.2011,-,2012,28155
Robin Kamber,Defensives Mittelfeld,15.02.1996 (17),"1,87m",rechts,5,06.09.2011,-,2012,28155
Phi Nguyen,Defensives Mittelfeld,03.07.1996 (16),"1,74m",rechts,4,06.09.2011,-,2012,28155
Eric Briner,Defensives Mittelfeld,01.02.1996 (17),-, ,-,,-,2012,28155
Meriton Bytyqi,Defensives Mittelfeld,18.03.1996 (17),-,rechts,1,24.05.2012,-,2012,28155
Anto Grgic,Zentrales Mittelfeld,28.11.1996 (16),"1,89m",rechts,3,06.09.2011,-,2012,28155
Nicolas Haas,Zentrales Mittelfeld,23.01.1996 (17),"1,78m",rechts,5,06.09.2011,-,2012,28155
Arxhend Cani,Zentrales Mittelfeld,02.08.1997 (15),-,rechts,6,30.10.2012,-,2012,28155
Michel Aebischer ,Zentrales Mittelfeld,06.01.1997 (16),"1,83m",rechts,2,04.09.2012,-,2012,28155
Valentino Pugliese,Zentrales Mittelfeld,18.07.1997 (15),"1,74m",links,3,01.11.2012,-,2012,28155
Jérémy Jaquier,Zentrales Mittelfeld,03.12.1997 (15),-, ,5,04.09.2012,-,2012,28155
Nikola Gjorgjev,Rechtes Mittelfeld,22.08.1997 (15),"1,74m",rechts,8,04.09.2012,-,2012,28155
Vedad Efendic,Linkes Mittelfeld,07.01.1997 (16),-,rechts,4,04.09.2012,-,2012,28155
Dereck Kutesa,Linkes Mittelfeld,06.12.1997 (15),"1,77m",rechts,6,04.09.2012,-,2012,28155
Marsel Stevic,Offensives Mittelfeld,22.02.1996 (17),-, ,3,18.10.2011,-,2012,28155
Maxime Dominguez,Offensives Mittelfeld,01.02.1996 (17),"1,73m",links,1,09.11.2011,-,2012,28155
Roberto Alves,Offensives Mittelfeld,08.06.1997 (16),"1,80m",links,5,01.11.2012,-,2012,28155
João Oliveira,Linksaußen,06.01.1996 (17),"1,77m",rechts,9,06.09.2011,-,2012,28155
Filipe Parreiras,Linksaußen,20.01.1997 (16),"1,80m", ,5,01.11.2012,-,2012,28155
Jolan Forestal,Rechtsaußen,06.03.1996 (17),"1,77m",rechts,1,09.11.2011,-,2012,28155
Dardan Susuri,Mittelstürmer,13.07.1996 (16),-, ,-,,-,2012,28155
Aaron Burkhardt,Mittelstürmer,10.02.1996 (17),"1,81m", ,2,18.10.2011,-,2012,28155
Nicolas Hunziker,Mittelstürmer,23.02.1996 (17),"1,80m",rechts,7,06.09.2011,-,2012,28155
Marko Dangubic,Mittelstürmer,04.02.1996 (17),"1,88m",rechts,4,06.09.2011,-,2012,28155
Boris Babic,Mittelstürmer,10.11.1997 (15),"1,80m",rechts,3,04.09.2012,-,2012,28155
Neftali Manzambi,Mittelstürmer,23.04.1997 (16),"1,79m",rechts,4,30.10.2012,-,2012,28155
Yannick Kouamé,Mittelstürmer,13.09.1997 (15),"1,89m",rechts,4,04.09.2012,-,2012,28155
Breel Embolo,Mittelstürmer,14.02.1997 (16),"1,87m",rechts,4,04.09.2012,-,2012,28155
Dimitri Oberlin,Mittelstürmer,27.09.1997 (15),"1,82m",rechts,3,04.09.2012,-,2012,28155
Albian Ajeti,Mittelstürmer,26.02.1997 (16),"1,81m",rechts,2,04.09.2012,-,2012,28155
Novem Baumann,Torwart,04.12.1995 (16),"1,85m", ,7,17.08.2010,-,2011,28155
Leonard Kiener,Torwart,22.06.1995 (17),"1,85m", ,4,19.08.2010,-,2011,28155
Joel Pereira,Torwart,28.06.1996 (16),"1,89m",rechts,3,06.09.2011,-,2011,28155
Pascal Albrecht,Torwart,29.04.1995 (17),"1,84m",rechts,5,16.09.2010,-,2011,28155
Noam Baumann,Torwart,10.04.1996 (16),"1,94m",rechts,5,08.09.2011,-,2011,28155
Robin Gloor,Innenverteidiger,15.12.1996 (15),-, ,4,18.10.2011,-,2011,28155
Manuel Riedweg,Innenverteidiger,17.02.1995 (17),-, ,8,19.10.2010,-,2011,28155
Marko Drakul,Innenverteidiger,06.08.1996 (15),-, ,5,06.09.2011,-,2011,28155
Milos Veljkovic,Innenverteidiger,26.09.1995 (16),"1,88m",rechts,1,17.03.2011,-,2011,28155
Florian Baumgartner,Linker Verteidiger,11.03.1996 (16),-, ,2,06.09.2011,-,2011,28155
Olivier Kleiner,Linker Verteidiger,03.02.1996 (16),"1,75m",links,8,06.09.2011,-,2011,28155
Ulisses Garcia,Linker Verteidiger,11.01.1996 (16),"1,82m",links,2,06.09.2011,-,2011,28155
Marco Trachsel,Linker Verteidiger,02.08.1996 (15),"1,80m", ,3,18.10.2011,-,2011,28155
Giovanni Giallongo,Linker Verteidiger,20.03.1996 (16),"1,73m", ,4,06.09.2011,-,2011,28155
Michael Gonçalves,Rechter Verteidiger,10.03.1995 (17),"1,74m",rechts,13,14.09.2010,-,2011,28155
Nils von Niederhäusern,Rechter Verteidiger,10.01.1996 (16),"1,80m",rechts,8,06.09.2011,-,2011,28155
Lucas Thöni ,Rechter Verteidiger,25.01.1995 (17),"1,73m",rechts,13,17.08.2010,-,2011,28155
Kevin Mbabu,Rechter Verteidiger,19.04.1995 (17),"1,84m",rechts,8,24.01.2011,-,2011,28155
Daniel Garetto,Rechter Verteidiger,19.02.1995 (17),"1,76m", ,8,17.08.2010,-,2011,28155
Nicolas Stettler,Rechter Verteidiger,28.04.1996 (16),"1,76m",rechts,4,08.09.2011,-,2011,28155
Deni Kadoic,Defensives Mittelfeld,03.04.1996 (16),"1,85m",beidfüßig,7,06.09.2011,-,2011,28155
Olivier Custodio,Defensives Mittelfeld,10.02.1995 (17),"1,80m",rechts,14,14.09.2010,-,2011,28155
Boris Céspedes,Defensives Mittelfeld,19.06.1995 (17),"1,81m",rechts,6,19.10.2010,-,2011,28155
Robin Kamber,Defensives Mittelfeld,15.02.1996 (16),"1,87m",rechts,5,06.09.2011,-,2011,28155
Shpetim Arifi,Defensives Mittelfeld,07.11.1996 (15),-, ,1,09.11.2011,-,2011,28155
Phi Nguyen,Defensives Mittelfeld,03.07.1996 (15),"1,74m",rechts,4,06.09.2011,-,2011,28155
Gente Mazreku,Zentrales Mittelfeld,21.01.1995 (17),-, ,12,17.08.2010,-,2011,28155
Nicolas Haas,Zentrales Mittelfeld,23.01.1996 (16),"1,78m",rechts,5,06.09.2011,-,2011,28155
Fabio Schindler,Zentrales Mittelfeld,31.01.1995 (17),-, ,8,21.10.2010,-,2011,28155
Anto Grgic,Zentrales Mittelfeld,28.11.1996 (15),"1,89m",rechts,3,06.09.2011,-,2011,28155
Christoph Stenz,Rechtes Mittelfeld,09.10.1995 (16),-, ,13,17.08.2010,-,2011,28155
Flavio Gautreaux,Rechtes Mittelfeld,03.05.1995 (17),"1,75m",rechts,12,17.08.2010,-,2011,28155
Lumturim Selmani,Offensives Mittelfeld,10.05.1996 (16),-, ,3,06.09.2011,-,2011,28155
Diego Zoller,Offensives Mittelfeld,10.01.1995 (17),"1,76m", ,14,17.08.2010,-,2011,28155
Miguel Castroman,Offensives Mittelfeld,17.03.1995 (17),"1,75m",links,10,14.09.2010,-,2011,28155
Kilian Pagliuca,Offensives Mittelfeld,02.09.1996 (15),"1,88m",rechts,3,06.09.2011,-,2011,28155
Ruben Burkard,Offensives Mittelfeld,20.10.1995 (16),-,rechts,7,21.10.2010,-,2011,28155
Marsel Stevic,Offensives Mittelfeld,22.02.1996 (16),-, ,3,18.10.2011,-,2011,28155
Samuele Campo,Offensives Mittelfeld,06.07.1995 (16),"1,77m",links,2,05.04.2011,-,2011,28155
Grégory Karlen ,Offensives Mittelfeld,30.01.1995 (17),"1,87m",rechts,2,17.05.2011,-,2011,28155
Maxime Dominguez,Offensives Mittelfeld,01.02.1996 (16),"1,73m",links,1,09.11.2011,-,2011,28155
João Oliveira,Linksaußen,06.01.1996 (16),"1,77m",rechts,9,06.09.2011,-,2011,28155
Daniel Lema,Linksaußen,28.11.1995 (16),-, ,9,14.09.2010,-,2011,28155
Patrick Moren,Linksaußen,07.04.1996 (16),-, ,1,08.09.2011,-,2011,28155
Jolan Forestal,Rechtsaußen,06.03.1996 (16),"1,77m",rechts,1,09.11.2011,-,2011,28155
Marvin Graf,Rechtsaußen,17.08.1995 (16),"1,88m",rechts,2,05.04.2011,-,2011,28155
Shani Tarashaj,Hängende Spitze,07.02.1995 (17),"1,76m",rechts,10,17.08.2010,-,2011,28155
Aaron Burkhardt,Mittelstürmer,10.02.1996 (16),"1,81m", ,2,18.10.2011,-,2011,28155
Artian Kastrati,Mittelstürmer,11.01.1995 (17),"1,76m",rechts,14,17.08.2010,-,2011,28155
Nicolas Hunziker,Mittelstürmer,23.02.1996 (16),"1,80m",rechts,7,06.09.2011,-,2011,28155
Zoran Josipovic,Mittelstürmer,25.08.1995 (16),"1,91m",links,2,17.05.2011,-,2011,28155
Omar Thali,Mittelstürmer,22.02.1995 (17),"1,77m",rechts,16,17.08.2010,-,2011,28155
Shpetim Sulejmani,Mittelstürmer,02.06.1995 (17),"1,90m",rechts,12,14.09.2010,-,2011,28155
Marko Dangubic,Mittelstürmer,04.02.1996 (16),"1,88m",rechts,4,06.09.2011,-,2011,28155
Yvon Mvogo,Torwart,06.06.1994 (17),"1,90m",rechts,4,10.09.2009,50 Tsd. €,2010,28155
Signori Antonio ,Torwart,25.07.1994 (16),"1,87m",rechts,7,16.08.2009,50 Tsd. €,2010,28155
Novem Baumann,Torwart,04.12.1995 (15),"1,85m", ,7,17.08.2010,-,2010,28155
Mirko Salvi,Torwart,14.02.1994 (17),"1,88m",rechts,3,14.08.2009,-,2010,28155
Leonard Kiener,Torwart,22.06.1995 (16),"1,85m", ,4,19.08.2010,-,2010,28155
Pascal Albrecht,Torwart,29.04.1995 (16),"1,84m",rechts,5,16.09.2010,-,2010,28155
Olindo Regazzi,Innenverteidiger,13.03.1994 (17),"1,80m",rechts,6,16.08.2009,50 Tsd. €,2010,28155
Silvano Schäppi,Innenverteidiger,05.02.1994 (17),"1,67m",links,7,14.08.2009,-,2010,28155
Manuel Riedweg,Innenverteidiger,17.02.1995 (16),-, ,8,19.10.2010,-,2010,28155
Ferid Matri,Innenverteidiger,16.01.1994 (17),"1,91m",rechts,5,29.03.2010,-,2010,28155
Levent Gülen,Innenverteidiger,24.02.1994 (17),"1,86m",rechts,6,14.08.2009,-,2010,28155
Martin Angha,Innenverteidiger,22.01.1994 (17),"1,88m",beidfüßig,7,14.08.2009,-,2010,28155
Pasquale Martino,Innenverteidiger,13.04.1995 (16),"1,74m",rechts,4,17.08.2010,-,2010,28155
Endogan Adili,Linker Verteidiger,03.08.1994 (16),"1,70m",links,7,14.08.2009,450 Tsd. €,2010,28155
Joel Untersee,Rechter Verteidiger,11.02.1994 (17),"1,81m",rechts,9,14.08.2009,-,2010,28155
Lucas Thöni ,Rechter Verteidiger,25.01.1995 (16),"1,73m",rechts,13,17.08.2010,-,2010,28155
Daniel Garetto,Rechter Verteidiger,19.02.1995 (16),"1,76m", ,8,17.08.2010,-,2010,28155
Cédric Brunner,Rechter Verteidiger,17.02.1994 (17),"1,81m",rechts,3,29.03.2010,-,2010,28155
Michael Gonçalves,Rechter Verteidiger,10.03.1995 (16),"1,74m",rechts,13,14.09.2010,-,2010,28155
Olivier Custodio,Defensives Mittelfeld,10.02.1995 (16),"1,80m",rechts,14,14.09.2010,-,2010,28155
Nicola Peter,Defensives Mittelfeld,06.09.1994 (16),"1,78m",rechts,2,07.05.2010,-,2010,28155
Guillaume Baillifard,Defensives Mittelfeld,08.04.1995 (16),-, ,2,17.08.2010,-,2010,28155
Ming-Yang Yang,Defensives Mittelfeld,11.07.1995 (15),"1,75m",rechts,4,17.08.2010,-,2010,28155
Florian Gudit,Defensives Mittelfeld,18.01.1994 (17),"1,68m", ,9,14.08.2009,-,2010,28155
Kevin Tsimba,Defensives Mittelfeld,20.02.1994 (17),"1,71m",rechts,4,14.08.2009,-,2010,28155
Thibault Corbaz,Defensives Mittelfeld,07.01.1994 (17),"1,80m",rechts,6,14.08.2009,-,2010,28155
Boris Céspedes,Defensives Mittelfeld,19.06.1995 (16),"1,81m",rechts,6,19.10.2010,-,2010,28155
Musa Araz,Zentrales Mittelfeld,17.01.1994 (17),"1,73m",links,2,01.04.2010,-,2010,28155
Gente Mazreku,Zentrales Mittelfeld,21.01.1995 (16),-, ,12,17.08.2010,-,2010,28155
Fabio Schindler,Zentrales Mittelfeld,31.01.1995 (16),-, ,8,21.10.2010,-,2010,28155
Michael Weber,Zentrales Mittelfeld,06.06.1994 (17),"1,73m",rechts,8,14.08.2009,-,2010,28155
Jan Breitenmoser,Zentrales Mittelfeld,25.03.1995 (16),"1,71m",links,2,17.08.2010,-,2010,28155
Christoph Stenz,Rechtes Mittelfeld,09.10.1995 (15),-, ,13,17.08.2010,-,2010,28155
Flavio Gautreaux,Rechtes Mittelfeld,03.05.1995 (16),"1,75m",rechts,12,17.08.2010,-,2010,28155
Thomas Sierro,Rechtes Mittelfeld,11.02.1994 (17),"1,73m",rechts,6,08.09.2009,-,2010,28155
Daniel Follonier,Rechtes Mittelfeld,18.01.1994 (17),"1,84m",links,-,25.05.2010,-,2010,28155
Salim Khelifi,Rechtes Mittelfeld,26.01.1994 (17),"1,72m",rechts,4,29.03.2010,-,2010,28155
Roland Ndongo ,Rechtes Mittelfeld,11.10.1994 (16),"1,72m",rechts,7,16.08.2009,-,2010,28155
Valentin Hayoz,Linkes Mittelfeld,10.02.1995 (16),"1,73m",links,6,17.08.2010,-,2010,28155
Santiago Cerezo,Offensives Mittelfeld,11.04.1995 (16),"1,68m",rechts,2,19.10.2010,-,2010,28155
Diego Zoller,Offensives Mittelfeld,10.01.1995 (16),"1,76m", ,14,17.08.2010,-,2010,28155
Thibault Constantin,Offensives Mittelfeld,11.07.1994 (16),"1,75m",rechts,7,14.08.2009,-,2010,28155
Thomas Fekete,Offensives Mittelfeld,19.09.1995 (15),"1,78m",links,2,19.09.2010,-,2010,28155
Ruben Burkard,Offensives Mittelfeld,20.10.1995 (15),-,rechts,7,21.10.2010,-,2010,28155
Miguel Castroman,Offensives Mittelfeld,17.03.1995 (16),"1,75m",links,10,14.09.2010,-,2010,28155
Daniel Lema,Linksaußen,28.11.1995 (15),-, ,9,14.09.2010,-,2010,28155
Tchaing Da Silva,Linksaußen,28.02.1994 (17),"1,78m", ,6,14.08.2009,-,2010,28155
Shani Tarashaj,Hängende Spitze,07.02.1995 (16),"1,76m",rechts,10,17.08.2010,-,2010,28155
Michael Frey,Mittelstürmer,19.07.1994 (16),"1,88m",rechts,5,29.03.2010,-,2010,28155
Cephas Malele,Mittelstürmer,08.01.1994 (17),"1,85m",rechts,5,14.08.2009,-,2010,28155
Omar Thali,Mittelstürmer,22.02.1995 (16),"1,77m",rechts,16,17.08.2010,-,2010,28155
Edmond Selmani,Mittelstürmer,31.07.1994 (16),"1,76m", ,5,08.09.2009,-,2010,28155
Artian Kastrati,Mittelstürmer,11.01.1995 (16),"1,76m",rechts,14,17.08.2010,-,2010,28155
Shpetim Sulejmani,Mittelstürmer,02.06.1995 (16),"1,90m",rechts,12,14.09.2010,-,2010,28155
Donato Coviello,Mittelstürmer,01.03.1994 (17),"1,78m",rechts,1,27.05.2010,-,2010,28155
Mirko Salvi,Torwart,14.02.1994 (16),"1,88m",rechts,3,14.08.2009,-,2009,28155
Signori Antonio ,Torwart,25.07.1994 (15),"1,87m",rechts,7,16.08.2009,-,2009,28155
Yvon Mvogo,Torwart,06.06.1994 (16),"1,90m",rechts,4,10.09.2009,-,2009,28155
Olindo Regazzi,Innenverteidiger,13.03.1994 (16),"1,80m",rechts,6,16.08.2009,50 Tsd. €,2009,28155
Martin Angha,Innenverteidiger,22.01.1994 (16),"1,88m",beidfüßig,7,14.08.2009,-,2009,28155
Levent Gülen,Innenverteidiger,24.02.1994 (16),"1,86m",rechts,6,14.08.2009,-,2009,28155
Hidajet Kastrati,Innenverteidiger,02.09.1994 (15),"1,80m",rechts,2,,-,2009,28155
Stefan Marinkovic,Innenverteidiger,20.02.1994 (16),"1,84m",links,3,14.08.2009,-,2009,28155
Silvano Schäppi,Innenverteidiger,05.02.1994 (16),"1,67m",links,7,14.08.2009,-,2009,28155
Endogan Adili,Linker Verteidiger,03.08.1994 (15),"1,70m",links,7,14.08.2009,-,2009,28155
Joel Untersee,Rechter Verteidiger,11.02.1994 (16),"1,81m",rechts,9,14.08.2009,-,2009,28155
Elias Kabamba,Rechter Verteidiger,08.01.1994 (16),"1,83m",rechts,1,10.09.2009,-,2009,28155
Thibault Corbaz,Defensives Mittelfeld,07.01.1994 (16),"1,80m",rechts,6,14.08.2009,-,2009,28155
Florian Gudit,Defensives Mittelfeld,18.01.1994 (16),"1,68m", ,9,14.08.2009,-,2009,28155
Kevin Tsimba,Defensives Mittelfeld,20.02.1994 (16),"1,71m",rechts,4,14.08.2009,-,2009,28155
Michael Weber,Zentrales Mittelfeld,06.06.1994 (16),"1,73m",rechts,8,14.08.2009,-,2009,28155
Leonardo Bertone,Zentrales Mittelfeld,14.03.1994 (16),"1,79m",rechts,1,08.09.2009,-,2009,28155
Abduljabbar Al Abbadie,Zentrales Mittelfeld,21.07.1994 (15),"1,75m",rechts,2,14.08.2009,-,2009,28155
Roland Ndongo ,Rechtes Mittelfeld,11.10.1994 (15),"1,72m",rechts,7,16.08.2009,-,2009,28155
Thomas Sierro,Rechtes Mittelfeld,11.02.1994 (16),"1,73m",rechts,6,08.09.2009,-,2009,28155
Emanuel Duzmani,Linkes Mittelfeld,04.03.1994 (16),"1,75m",rechts,2,14.08.2009,-,2009,28155
Thibault Constantin,Offensives Mittelfeld,11.07.1994 (15),"1,75m",rechts,7,14.08.2009,-,2009,28155
Tchaing Da Silva,Linksaußen,28.02.1994 (16),"1,78m", ,6,14.08.2009,-,2009,28155
