Name,Position,Birthdate,Height,Foot,GamesPlayed,Debut,Value,Year,Category,Age
Elis Isufi,Innenverteidiger,2000-05-21,"1,87m",rechts,4,15.09.2015,0.0,2015,28155,24
Marco Corradi,Innenverteidiger,2000-01-01,"1,89m",rechts,6,17.09.2015,0.0,2015,28155,24
Jan Kronig,Innenverteidiger,2000-06-24,"1,86m",links,7,17.09.2015,0.0,2015,28155,24
Yves Jankowski,Linker Verteidiger,2000-06-04,-,rechts,8,15.09.2015,0.0,2015,28155,24
Mattia Sestito,Linker Verteidiger,2000-03-16,-, ,2,13.10.2015,0.0,2015,28155,24
Dejan Zunic,Linker Verteidiger,1999-01-02,"1,79m", ,2,21.04.2015,0.0,2015,28155,25
Bertrand Tusiama,Rechter Verteidiger,2000-09-14,-, ,3,15.09.2015,0.0,2015,28155,24
Devin Manco,Rechter Verteidiger,1999-04-03,-, ,4,09.09.2014,0.0,2015,28155,25
Sandro Theler,Rechter Verteidiger,2000-12-15,"1,75m",rechts,3,17.09.2015,0.0,2015,28155,23
Adam Ouattara,Rechter Verteidiger,2000-06-06,"1,77m",rechts,6,13.10.2015,0.0,2015,28155,24
Nicolas Herter,Defensives Mittelfeld,1999-03-24,"1,77m",rechts,5,16.02.2015,0.0,2015,28155,25
Timo Ribeiro,Defensives Mittelfeld,1999-02-22,"1,87m",links,6,09.09.2014,0.0,2015,28155,25
Perrault Tokam,Defensives Mittelfeld,2000-05-23,"1,81m",rechts,8,15.09.2015,0.0,2015,28155,24
Lorenzo Di Michelangeli,Zentrales Mittelfeld,2000-02-12,-, ,5,15.09.2015,0.0,2015,28155,24
Kastrijot Ndau,Zentrales Mittelfeld,1999-02-19,"1,70m",links,9,09.09.2014,0.0,2015,28155,25
Fabiano Pereira,Zentrales Mittelfeld,2000-10-05,-, ,6,15.09.2015,0.0,2015,28155,24
Noah Blasucci,Zentrales Mittelfeld,1999-06-19,"1,75m",rechts,7,09.09.2014,0.0,2015,28155,25
Tim Staubli,Zentrales Mittelfeld,2000-04-16,"1,79m",rechts,7,17.09.2015,0.0,2015,28155,24
Stephan Seiler,Zentrales Mittelfeld,2000-09-16,"1,74m",rechts,8,17.09.2015,0.0,2015,28155,24
Bastien Toma,Zentrales Mittelfeld,1999-06-24,"1,74m",rechts,4,16.02.2015,0.0,2015,28155,25
Karim Bertelli,Zentrales Mittelfeld,1999-03-27,"1,85m",rechts,6,09.09.2014,0.0,2015,28155,25
Ruben da Mata,Rechtes Mittelfeld,2000-01-07,-, ,2,13.10.2015,0.0,2015,28155,24
Petar Pusic,Offensives Mittelfeld,1999-01-25,"1,71m",links,9,09.09.2014,0.0,2015,28155,25
Nedim Bajrami,Offensives Mittelfeld,1999-02-28,"1,79m",rechts,7,21.10.2014,0.0,2015,28155,25
Alexis Antunes,Offensives Mittelfeld,2000-07-31,"1,81m",rechts,5,15.09.2015,0.0,2015,28155,24
Luka Stevic,Offensives Mittelfeld,2000-07-22,"1,80m",rechts,6,15.09.2015,0.0,2015,28155,24
Ajet Sejdija,Offensives Mittelfeld,1999-04-28,"1,71m", ,4,15.03.2019,0.0,2015,28155,25
Giotto Morandi,Offensives Mittelfeld,1999-03-04,"1,81m",rechts,4,21.10.2014,0.0,2015,28155,25
Matteo Di Giusto,Offensives Mittelfeld,2000-08-18,"1,68m",rechts,5,13.10.2015,0.0,2015,28155,24
Rijad Saliji,Offensives Mittelfeld,1999-04-05,"1,79m",rechts,9,09.09.2014,0.0,2015,28155,25
Nicola Suter,Offensives Mittelfeld,2000-02-02,"1,84m",rechts,6,17.09.2015,0.0,2015,28155,24
Christopher Lungoyi,Linksaußen,2000-07-04,"1,82m",links,1,17.09.2015,0.0,2015,28155,24
Nishan Burkart,Linksaußen,2000-01-31,"1,74m",rechts,6,17.09.2015,0.0,2015,28155,24
Mersim Asllani,Rechtsaußen,1999-06-07,"1,78m",rechts,9,09.09.2014,0.0,2015,28155,25
Nicolas Eberle,Rechtsaußen,1999-11-04,"1,74m",rechts,5,16.02.2015,0.0,2015,28155,25
Çendrim Kameraj,Rechtsaußen,1999-03-13,"1,80m", ,9,09.09.2014,0.0,2015,28155,25
Andi Zeqiri,Mittelstürmer,1999-06-22,"1,85m",links,7,09.09.2014,0.25,2015,28155,25
Lorenzo Gonzalez,Mittelstürmer,2000-04-10,"1,70m",rechts,1,15.09.2015,0.0,2015,28155,24
Ambrosio Da Costa,Mittelstürmer,1999-05-17,"1,80m",rechts,6,21.10.2014,0.0,2015,28155,25
Angelo Campos,Mittelstürmer,2000-03-30,"1,78m",rechts,2,13.10.2015,0.0,2015,28155,24
Colin Mühlebach,Torwart,1998-09-14,-, ,-,,0.0,2014,28155,26
Joao Castanheira,Torwart,1998-02-23,"1,81m",links,2,05.09.2013,0.0,2014,28155,26
Gion Chande,Torwart,1998-05-03,"1,81m", ,4,03.09.2013,0.0,2014,28155,26
Lars Hunn,Torwart,1999-05-25,"1,82m",rechts,5,11.09.2014,0.0,2014,28155,25
Lars Schädeli,Torwart,1999-06-16,"1,78m", ,5,09.09.2014,0.0,2014,28155,25
Luca Lenzin,Innenverteidiger,1999-04-27,"1,8m", ,2,21.10.2014,0.0,2014,28155,25
Janic Cucinelli,Innenverteidiger,1999-01-22,-, ,9,09.09.2014,0.0,2014,28155,25
Jan Bamert,Innenverteidiger,1998-03-09,"1,84m",rechts,8,03.09.2013,0.0,2014,28155,26
Kreshnik Hajrizi,Innenverteidiger,1999-05-28,"1,85m",rechts,9,09.09.2014,0.0,2014,28155,25
Eray Cömert,Innenverteidiger,1998-02-04,"1,83m",rechts,6,01.10.2013,0.0,2014,28155,26
Riccardo Rigliaco,Innenverteidiger,1998-03-23,-, ,3,10.04.2014,0.0,2014,28155,26
Joël Schmied,Innenverteidiger,1998-09-23,"1,88m",rechts,1,14.05.2014,0.0,2014,28155,26
Jasper van der Werff,Innenverteidiger,1998-12-09,"1,88m",rechts,2,13.05.2014,0.0,2014,28155,25
Leotrim Nitaj,Linker Verteidiger,1998-06-11,"1,85m", ,4,03.09.2013,0.0,2014,28155,26
Miro Muheim,Linker Verteidiger,1998-03-24,"1,82m",links,2,08.04.2014,0.0,2014,28155,26
Thomas Kargbo,Rechter Verteidiger,1999-06-02,-, ,3,11.09.2014,0.0,2014,28155,25
Dario Ulrich,Rechter Verteidiger,1998-03-12,"1,73m",rechts,8,03.09.2013,0.0,2014,28155,26
Devin Manco,Rechter Verteidiger,1999-04-03,-, ,4,09.09.2014,0.0,2014,28155,25
Sadik Vitija,Rechter Verteidiger,1998-08-13,"1,74m", ,5,03.09.2013,0.0,2014,28155,26
Bryan Mallo,Rechter Verteidiger,1999-12-04,-, ,1,,0.0,2014,28155,24
Jordan Lotomba,Rechter Verteidiger,1998-09-29,"1,77m",rechts,1,14.05.2014,0.0,2014,28155,26
Loris Pellegatta,Rechter Verteidiger,1998-04-16,-,links,3,13.05.2014,0.0,2014,28155,26
Jordi Manuel Ehombo,Defensives Mittelfeld,1998-02-03,"1,78m",rechts,-,,0.0,2014,28155,26
Nico Clausen,Defensives Mittelfeld,1999-03-10,-, ,2,09.09.2014,0.0,2014,28155,25
Till Jeker,Defensives Mittelfeld,1998-01-25,-, ,1,10.04.2014,0.0,2014,28155,26
Timo Ribeiro,Defensives Mittelfeld,1999-02-22,"1,87m",links,6,09.09.2014,0.0,2014,28155,25
Vasilije Janjicic,Zentrales Mittelfeld,1998-11-02,"1,80m",rechts,2,03.09.2013,0.025,2014,28155,26
Kastrijot Ndau,Zentrales Mittelfeld,1999-02-19,"1,70m",links,9,09.09.2014,0.0,2014,28155,25
Lorik Emini,Zentrales Mittelfeld,1999-08-29,"1,76m",rechts,4,09.09.2014,0.0,2014,28155,25
Noah Blasucci,Zentrales Mittelfeld,1999-06-19,"1,75m",rechts,7,09.09.2014,0.0,2014,28155,25
Edin Imeri,Zentrales Mittelfeld,1998-01-14,"1,81m",rechts,8,03.09.2013,0.0,2014,28155,26
Araz Sadik,Zentrales Mittelfeld,1998-03-05,"1,78m", ,2,08.04.2014,0.0,2014,28155,26
Karim Bertelli,Zentrales Mittelfeld,1999-03-27,"1,85m",rechts,6,09.09.2014,0.0,2014,28155,25
Batuhan Karadeniz,Rechtes Mittelfeld,1999-02-09,-, ,1,,0.0,2014,28155,25
Martin Liechti,Rechtes Mittelfeld,1998-05-21,"1,76m",links,6,03.09.2013,0.0,2014,28155,26
Baris Cagras,Linkes Mittelfeld,1999-01-03,"1,74m",links,2,09.09.2014,0.0,2014,28155,25
Edmond Ramadani,Linkes Mittelfeld,1998-06-27,"1,79m",rechts,2,03.09.2013,0.0,2014,28155,26
Thomas Kunz,Offensives Mittelfeld,1998-01-18,"1,85m",rechts,9,03.09.2013,0.0,2014,28155,26
Rijad Saliji,Offensives Mittelfeld,1999-04-05,"1,79m",rechts,9,09.09.2014,0.0,2014,28155,25
Ajet Sejdija,Offensives Mittelfeld,1999-04-28,"1,71m", ,4,15.03.2019,0.0,2014,28155,25
Giotto Morandi,Offensives Mittelfeld,1999-03-04,"1,81m",rechts,4,21.10.2014,0.0,2014,28155,25
Petar Pusic,Offensives Mittelfeld,1999-01-25,"1,71m",links,9,09.09.2014,0.0,2014,28155,25
Nedim Bajrami,Offensives Mittelfeld,1999-02-28,"1,79m",rechts,7,21.10.2014,0.0,2014,28155,25
Liridon Mulaj,Linksaußen,1999-01-04,"1,75m",rechts,2,09.09.2014,0.0,2014,28155,25
Mersim Asllani,Rechtsaußen,1999-06-07,"1,78m",rechts,9,09.09.2014,0.0,2014,28155,25
Çendrim Kameraj,Rechtsaußen,1999-03-13,"1,80m", ,9,09.09.2014,0.0,2014,28155,25
Cristian Papa,Hängende Spitze,1998-06-11,"1,77m",rechts,-,,0.0,2014,28155,26
Jérémy Guillemenot,Mittelstürmer,1998-01-06,"1,84m",rechts,8,05.09.2013,0.0,2014,28155,26
Andi Zeqiri,Mittelstürmer,1999-06-22,"1,85m",links,7,09.09.2014,0.0,2014,28155,25
Haris Samardzic,Mittelstürmer,1998-02-16,"1,89m", ,9,03.09.2013,0.0,2014,28155,26
Ambrosio Da Costa,Mittelstürmer,1999-05-17,"1,80m",rechts,6,21.10.2014,0.0,2014,28155,25
Senad Mujovik,Torwart,1997-05-26,"1,81m",links,2,22.05.2013,0.0,2013,28155,27
Olivier Joos,Torwart,1997-03-12,"1,81m",rechts,4,06.09.2012,0.0,2013,28155,27
Gion Chande,Torwart,1998-05-03,"1,81m", ,4,03.09.2013,0.0,2013,28155,26
Mathieu Descloux,Torwart,1997-01-22,"1,86m",rechts,2,04.09.2012,0.0,2013,28155,27
Joao Castanheira,Torwart,1998-02-23,"1,81m",links,2,05.09.2013,0.0,2013,28155,26
Jeremie Mantato,Abwehr,1998-05-26,-, ,1,05.09.2013,0.0,2013,28155,26
Joel Zahn,Innenverteidiger,1998-04-16,-, ,1,05.09.2013,0.0,2013,28155,26
Noah Loosli,Innenverteidiger,1997-01-23,"1,86m",rechts,4,16.04.2013,0.0,2013,28155,27
Jan Bamert,Innenverteidiger,1998-03-09,"1,84m",rechts,8,03.09.2013,0.0,2013,28155,26
Eray Cömert,Innenverteidiger,1998-02-04,"1,83m",rechts,6,01.10.2013,0.0,2013,28155,26
Remo Arnold,Innenverteidiger,1997-01-17,"1,90m",rechts,5,04.09.2012,0.0,2013,28155,27
Mirlind Kryeziu,Innenverteidiger,1997-01-26,"1,96m",links,5,21.05.2013,0.0,2013,28155,27
Yves Kaiser,Innenverteidiger,1998-04-30,"1,82m",rechts,1,03.10.2013,0.0,2013,28155,26
Leotrim Nitaj,Linker Verteidiger,1998-06-11,"1,85m", ,4,03.09.2013,0.0,2013,28155,26
Tobias Schättin,Linker Verteidiger,1997-06-05,"1,85m",links,9,04.09.2012,0.0,2013,28155,27
Dario Ulrich,Rechter Verteidiger,1998-03-12,"1,73m",rechts,8,03.09.2013,0.0,2013,28155,26
Sadik Vitija,Rechter Verteidiger,1998-08-13,"1,74m", ,5,03.09.2013,0.0,2013,28155,26
Lukas Frehner,Rechter Verteidiger,1997-08-04,-, ,8,04.09.2012,0.0,2013,28155,27
Samir Bajrami,Rechter Verteidiger,1997-07-03,"1,78m",beidfüßig,5,22.05.2013,0.0,2013,28155,27
Kevin Rüegg,Rechter Verteidiger,1998-08-05,"1,73m",rechts,4,03.09.2013,0.0,2013,28155,26
Alessandro Kräuchi,Rechter Verteidiger,1998-06-03,"1,76m",links,1,05.09.2013,0.0,2013,28155,26
Robin Huser,Defensives Mittelfeld,1998-01-24,"1,80m",rechts,2,03.09.2013,0.0,2013,28155,26
Milan Marjanovic,Mittelfeld,1997-02-10,"1,70m", ,5,04.09.2012,0.0,2013,28155,27
Albin Sadrijaj,Defensives Mittelfeld,1997-06-27,"1,88m",links,2,22.05.2013,0.0,2013,28155,27
Araz Sadik,Zentrales Mittelfeld,1998-03-05,"1,78m", ,2,08.04.2014,0.0,2013,28155,26
Djibril Sow,Zentrales Mittelfeld,1997-02-06,"1,84m",rechts,4,16.04.2013,0.0,2013,28155,27
Jérémy Jaquier,Zentrales Mittelfeld,1997-12-03,-, ,5,04.09.2012,0.0,2013,28155,26
Vasilije Janjicic,Zentrales Mittelfeld,1998-11-02,"1,80m",rechts,2,03.09.2013,0.0,2013,28155,26
Arxhend Cani,Zentrales Mittelfeld,1997-08-02,-,rechts,6,30.10.2012,0.0,2013,28155,27
Valentino Pugliese,Zentrales Mittelfeld,1997-07-18,"1,74m",links,3,01.11.2012,0.0,2013,28155,27
Edin Imeri,Zentrales Mittelfeld,1998-01-14,"1,81m",rechts,8,03.09.2013,0.0,2013,28155,26
Harun Alpsoy,Zentrales Mittelfeld,1997-03-03,"1,87m",rechts,2,22.05.2013,0.0,2013,28155,27
Francesco Mozzetti,Rechtes Mittelfeld,1998-09-07,-,rechts,2,01.10.2013,0.0,2013,28155,26
Nikola Gjorgjev,Rechtes Mittelfeld,1997-08-22,"1,74m",rechts,8,04.09.2012,0.0,2013,28155,27
Martin Liechti,Rechtes Mittelfeld,1998-05-21,"1,76m",links,6,03.09.2013,0.0,2013,28155,26
Trevis Binder,Linkes Mittelfeld,1997-07-23,-, ,2,16.04.2013,0.0,2013,28155,27
Edmond Ramadani,Linkes Mittelfeld,1998-06-27,"1,79m",rechts,2,03.09.2013,0.0,2013,28155,26
Dereck Kutesa,Linkes Mittelfeld,1997-12-06,"1,77m",rechts,6,04.09.2012,0.0,2013,28155,26
Thomas Kunz,Offensives Mittelfeld,1998-01-18,"1,85m",rechts,9,03.09.2013,0.0,2013,28155,26
Roberto Alves,Offensives Mittelfeld,1997-06-08,"1,80m",links,5,01.11.2012,0.0,2013,28155,27
Filipe Parreiras,Linksaußen,1997-01-20,"1,80m", ,5,01.11.2012,0.0,2013,28155,27
Nils Ryser,Rechtsaußen,1997-01-08,-, ,2,16.04.2013,0.0,2013,28155,27
Olivier Baumgärtner,Mittelstürmer,1997-04-28,-,rechts,2,16.04.2013,0.0,2013,28155,27
Boris Babic,Mittelstürmer,1997-11-10,"1,80m",rechts,3,04.09.2012,0.0,2013,28155,27
Haris Samardzic,Mittelstürmer,1998-02-16,"1,89m", ,9,03.09.2013,0.0,2013,28155,26
Neftali Manzambi,Mittelstürmer,1997-04-23,"1,79m",rechts,4,30.10.2012,0.0,2013,28155,27
Yannick Kouamé,Mittelstürmer,1997-09-13,"1,89m",rechts,4,04.09.2012,0.0,2013,28155,27
Jérémy Guillemenot,Mittelstürmer,1998-01-06,"1,84m",rechts,8,05.09.2013,0.0,2013,28155,26
Noam Baumann,Torwart,1996-04-10,"1,94m",rechts,5,08.09.2011,0.0,2012,28155,28
Mathieu Descloux,Torwart,1997-01-22,"1,86m",rechts,2,04.09.2012,0.0,2012,28155,27
Joel Pereira,Torwart,1996-06-28,"1,89m",rechts,3,06.09.2011,0.0,2012,28155,28
Olivier Joos,Torwart,1997-03-12,"1,81m",rechts,4,06.09.2012,0.0,2012,28155,27
Robin Gloor,Innenverteidiger,1996-12-15,-, ,4,18.10.2011,0.0,2012,28155,27
Marko Drakul,Innenverteidiger,1996-08-06,-, ,5,06.09.2011,0.0,2012,28155,28
Elia Alessandrini,Innenverteidiger,1997-03-03,"1,83m",rechts,1,04.09.2012,0.0,2012,28155,27
Remo Arnold,Innenverteidiger,1997-01-17,"1,90m",rechts,5,04.09.2012,0.0,2012,28155,27
Alban Selmanaj,Innenverteidiger,1997-04-19,"1,86m",rechts,3,04.09.2012,0.0,2012,28155,27
Adonis Ajeti,Innenverteidiger,1997-02-26,"1,86m",links,3,06.09.2012,0.0,2012,28155,27
Esteban Parra,Linker Verteidiger,1997-12-02,-, ,1,04.09.2012,0.0,2012,28155,26
Giovanni Giallongo,Linker Verteidiger,1996-03-20,"1,73m", ,4,06.09.2011,0.0,2012,28155,28
Olivier Kleiner,Linker Verteidiger,1996-02-03,"1,75m",links,8,06.09.2011,0.0,2012,28155,28
Marco Trachsel,Linker Verteidiger,1996-08-02,"1,80m", ,3,18.10.2011,0.0,2012,28155,28
Tobias Schättin,Linker Verteidiger,1997-06-05,"1,85m",links,9,04.09.2012,0.0,2012,28155,27
Florian Baumgartner,Linker Verteidiger,1996-03-11,-, ,2,06.09.2011,0.0,2012,28155,28
Nils von Niederhäusern,Rechter Verteidiger,1996-01-10,"1,80m",rechts,8,06.09.2011,0.0,2012,28155,28
Nicolas Stettler,Rechter Verteidiger,1996-04-28,"1,76m",rechts,4,08.09.2011,0.0,2012,28155,28
Lukas Frehner,Rechter Verteidiger,1997-08-04,-, ,8,04.09.2012,0.0,2012,28155,27
Milan Marjanovic,Mittelfeld,1997-02-10,"1,70m", ,5,04.09.2012,0.0,2012,28155,27
Deni Kadoic,Defensives Mittelfeld,1996-04-03,"1,85m",beidfüßig,7,06.09.2011,0.0,2012,28155,28
Robin Kamber,Defensives Mittelfeld,1996-02-15,"1,87m",rechts,5,06.09.2011,0.0,2012,28155,28
Phi Nguyen,Defensives Mittelfeld,1996-07-03,"1,74m",rechts,4,06.09.2011,0.0,2012,28155,28
Eric Briner,Defensives Mittelfeld,1996-02-01,-, ,-,,0.0,2012,28155,28
Meriton Bytyqi,Defensives Mittelfeld,1996-03-18,-,rechts,1,24.05.2012,0.0,2012,28155,28
Anto Grgic,Zentrales Mittelfeld,1996-11-28,"1,89m",rechts,3,06.09.2011,0.0,2012,28155,27
Nicolas Haas,Zentrales Mittelfeld,1996-01-23,"1,78m",rechts,5,06.09.2011,0.0,2012,28155,28
Arxhend Cani,Zentrales Mittelfeld,1997-08-02,-,rechts,6,30.10.2012,0.0,2012,28155,27
Michel Aebischer,Zentrales Mittelfeld,1997-01-06,"1,83m",rechts,2,04.09.2012,0.0,2012,28155,27
Valentino Pugliese,Zentrales Mittelfeld,1997-07-18,"1,74m",links,3,01.11.2012,0.0,2012,28155,27
Jérémy Jaquier,Zentrales Mittelfeld,1997-12-03,-, ,5,04.09.2012,0.0,2012,28155,26
Nikola Gjorgjev,Rechtes Mittelfeld,1997-08-22,"1,74m",rechts,8,04.09.2012,0.0,2012,28155,27
Vedad Efendic,Linkes Mittelfeld,1997-01-07,-,rechts,4,04.09.2012,0.0,2012,28155,27
Dereck Kutesa,Linkes Mittelfeld,1997-12-06,"1,77m",rechts,6,04.09.2012,0.0,2012,28155,26
Marsel Stevic,Offensives Mittelfeld,1996-02-22,-, ,3,18.10.2011,0.0,2012,28155,28
Maxime Dominguez,Offensives Mittelfeld,1996-02-01,"1,73m",links,1,09.11.2011,0.0,2012,28155,28
Roberto Alves,Offensives Mittelfeld,1997-06-08,"1,80m",links,5,01.11.2012,0.0,2012,28155,27
João Oliveira,Linksaußen,1996-01-06,"1,77m",rechts,9,06.09.2011,0.0,2012,28155,28
Filipe Parreiras,Linksaußen,1997-01-20,"1,80m", ,5,01.11.2012,0.0,2012,28155,27
Jolan Forestal,Rechtsaußen,1996-03-06,"1,77m",rechts,1,09.11.2011,0.0,2012,28155,28
Dardan Susuri,Mittelstürmer,1996-07-13,-, ,-,,0.0,2012,28155,28
Aaron Burkhardt,Mittelstürmer,1996-02-10,"1,81m", ,2,18.10.2011,0.0,2012,28155,28
Nicolas Hunziker,Mittelstürmer,1996-02-23,"1,80m",rechts,7,06.09.2011,0.0,2012,28155,28
Marko Dangubic,Mittelstürmer,1996-02-04,"1,88m",rechts,4,06.09.2011,0.0,2012,28155,28
Boris Babic,Mittelstürmer,1997-11-10,"1,80m",rechts,3,04.09.2012,0.0,2012,28155,27
Neftali Manzambi,Mittelstürmer,1997-04-23,"1,79m",rechts,4,30.10.2012,0.0,2012,28155,27
Yannick Kouamé,Mittelstürmer,1997-09-13,"1,89m",rechts,4,04.09.2012,0.0,2012,28155,27
Breel Embolo,Mittelstürmer,1997-02-14,"1,87m",rechts,4,04.09.2012,0.0,2012,28155,27
Dimitri Oberlin,Mittelstürmer,1997-09-27,"1,82m",rechts,3,04.09.2012,0.0,2012,28155,27
Albian Ajeti,Mittelstürmer,1997-02-26,"1,81m",rechts,2,04.09.2012,0.0,2012,28155,27
Novem Baumann,Torwart,1995-12-04,"1,85m", ,7,17.08.2010,0.0,2011,28155,28
Leonard Kiener,Torwart,1995-06-22,"1,85m", ,4,19.08.2010,0.0,2011,28155,29
Joel Pereira,Torwart,1996-06-28,"1,89m",rechts,3,06.09.2011,0.0,2011,28155,28
Pascal Albrecht,Torwart,1995-04-29,"1,84m",rechts,5,16.09.2010,0.0,2011,28155,29
Noam Baumann,Torwart,1996-04-10,"1,94m",rechts,5,08.09.2011,0.0,2011,28155,28
Robin Gloor,Innenverteidiger,1996-12-15,-, ,4,18.10.2011,0.0,2011,28155,27
Manuel Riedweg,Innenverteidiger,1995-02-17,-, ,8,19.10.2010,0.0,2011,28155,29
Marko Drakul,Innenverteidiger,1996-08-06,-, ,5,06.09.2011,0.0,2011,28155,28
Milos Veljkovic,Innenverteidiger,1995-09-26,"1,88m",rechts,1,17.03.2011,0.0,2011,28155,29
Florian Baumgartner,Linker Verteidiger,1996-03-11,-, ,2,06.09.2011,0.0,2011,28155,28
Olivier Kleiner,Linker Verteidiger,1996-02-03,"1,75m",links,8,06.09.2011,0.0,2011,28155,28
Ulisses Garcia,Linker Verteidiger,1996-01-11,"1,82m",links,2,06.09.2011,0.0,2011,28155,28
Marco Trachsel,Linker Verteidiger,1996-08-02,"1,80m", ,3,18.10.2011,0.0,2011,28155,28
Giovanni Giallongo,Linker Verteidiger,1996-03-20,"1,73m", ,4,06.09.2011,0.0,2011,28155,28
Michael Gonçalves,Rechter Verteidiger,1995-03-10,"1,74m",rechts,13,14.09.2010,0.0,2011,28155,29
Nils von Niederhäusern,Rechter Verteidiger,1996-01-10,"1,80m",rechts,8,06.09.2011,0.0,2011,28155,28
Lucas Thöni,Rechter Verteidiger,1995-01-25,"1,73m",rechts,13,17.08.2010,0.0,2011,28155,29
Kevin Mbabu,Rechter Verteidiger,1995-04-19,"1,84m",rechts,8,24.01.2011,0.0,2011,28155,29
Daniel Garetto,Rechter Verteidiger,1995-02-19,"1,76m", ,8,17.08.2010,0.0,2011,28155,29
Nicolas Stettler,Rechter Verteidiger,1996-04-28,"1,76m",rechts,4,08.09.2011,0.0,2011,28155,28
Deni Kadoic,Defensives Mittelfeld,1996-04-03,"1,85m",beidfüßig,7,06.09.2011,0.0,2011,28155,28
Olivier Custodio,Defensives Mittelfeld,1995-02-10,"1,80m",rechts,14,14.09.2010,0.0,2011,28155,29
Boris Céspedes,Defensives Mittelfeld,1995-06-19,"1,81m",rechts,6,19.10.2010,0.0,2011,28155,29
Robin Kamber,Defensives Mittelfeld,1996-02-15,"1,87m",rechts,5,06.09.2011,0.0,2011,28155,28
Shpetim Arifi,Defensives Mittelfeld,1996-11-07,-, ,1,09.11.2011,0.0,2011,28155,28
Phi Nguyen,Defensives Mittelfeld,1996-07-03,"1,74m",rechts,4,06.09.2011,0.0,2011,28155,28
Gente Mazreku,Zentrales Mittelfeld,1995-01-21,-, ,12,17.08.2010,0.0,2011,28155,29
Nicolas Haas,Zentrales Mittelfeld,1996-01-23,"1,78m",rechts,5,06.09.2011,0.0,2011,28155,28
Fabio Schindler,Zentrales Mittelfeld,1995-01-31,-, ,8,21.10.2010,0.0,2011,28155,29
Anto Grgic,Zentrales Mittelfeld,1996-11-28,"1,89m",rechts,3,06.09.2011,0.0,2011,28155,27
Christoph Stenz,Rechtes Mittelfeld,1995-10-09,-, ,13,17.08.2010,0.0,2011,28155,29
Flavio Gautreaux,Rechtes Mittelfeld,1995-05-03,"1,75m",rechts,12,17.08.2010,0.0,2011,28155,29
Lumturim Selmani,Offensives Mittelfeld,1996-05-10,-, ,3,06.09.2011,0.0,2011,28155,28
Diego Zoller,Offensives Mittelfeld,1995-01-10,"1,76m", ,14,17.08.2010,0.0,2011,28155,29
Miguel Castroman,Offensives Mittelfeld,1995-03-17,"1,75m",links,10,14.09.2010,0.0,2011,28155,29
Kilian Pagliuca,Offensives Mittelfeld,1996-09-02,"1,88m",rechts,3,06.09.2011,0.0,2011,28155,28
Ruben Burkard,Offensives Mittelfeld,1995-10-20,-,rechts,7,21.10.2010,0.0,2011,28155,29
Marsel Stevic,Offensives Mittelfeld,1996-02-22,-, ,3,18.10.2011,0.0,2011,28155,28
Samuele Campo,Offensives Mittelfeld,1995-07-06,"1,77m",links,2,05.04.2011,0.0,2011,28155,29
Grégory Karlen,Offensives Mittelfeld,1995-01-30,"1,87m",rechts,2,17.05.2011,0.0,2011,28155,29
Maxime Dominguez,Offensives Mittelfeld,1996-02-01,"1,73m",links,1,09.11.2011,0.0,2011,28155,28
João Oliveira,Linksaußen,1996-01-06,"1,77m",rechts,9,06.09.2011,0.0,2011,28155,28
Daniel Lema,Linksaußen,1995-11-28,-, ,9,14.09.2010,0.0,2011,28155,28
Patrick Moren,Linksaußen,1996-04-07,-, ,1,08.09.2011,0.0,2011,28155,28
Jolan Forestal,Rechtsaußen,1996-03-06,"1,77m",rechts,1,09.11.2011,0.0,2011,28155,28
Marvin Graf,Rechtsaußen,1995-08-17,"1,88m",rechts,2,05.04.2011,0.0,2011,28155,29
Shani Tarashaj,Hängende Spitze,1995-02-07,"1,76m",rechts,10,17.08.2010,0.0,2011,28155,29
Aaron Burkhardt,Mittelstürmer,1996-02-10,"1,81m", ,2,18.10.2011,0.0,2011,28155,28
Artian Kastrati,Mittelstürmer,1995-01-11,"1,76m",rechts,14,17.08.2010,0.0,2011,28155,29
Nicolas Hunziker,Mittelstürmer,1996-02-23,"1,80m",rechts,7,06.09.2011,0.0,2011,28155,28
Zoran Josipovic,Mittelstürmer,1995-08-25,"1,91m",links,2,17.05.2011,0.0,2011,28155,29
Omar Thali,Mittelstürmer,1995-02-22,"1,77m",rechts,16,17.08.2010,0.0,2011,28155,29
Shpetim Sulejmani,Mittelstürmer,1995-06-02,"1,90m",rechts,12,14.09.2010,0.0,2011,28155,29
Marko Dangubic,Mittelstürmer,1996-02-04,"1,88m",rechts,4,06.09.2011,0.0,2011,28155,28
Yvon Mvogo,Torwart,1994-06-06,"1,90m",rechts,4,10.09.2009,0.05,2010,28155,30
Signori Antonio,Torwart,1994-07-25,"1,87m",rechts,7,16.08.2009,0.05,2010,28155,30
Novem Baumann,Torwart,1995-12-04,"1,85m", ,7,17.08.2010,0.0,2010,28155,28
Mirko Salvi,Torwart,1994-02-14,"1,88m",rechts,3,14.08.2009,0.0,2010,28155,30
Leonard Kiener,Torwart,1995-06-22,"1,85m", ,4,19.08.2010,0.0,2010,28155,29
Pascal Albrecht,Torwart,1995-04-29,"1,84m",rechts,5,16.09.2010,0.0,2010,28155,29
Olindo Regazzi,Innenverteidiger,1994-03-13,"1,80m",rechts,6,16.08.2009,0.05,2010,28155,30
